time;throughput (kbps)
57.5;40704.1
57.6;39845.8
57.7;57320.6
57.8;44024.2
57.9;37063.7
58;38852.7
58.1;46292.7
58.2;38982.5
58.3;44976
58.4;32908.3
58.5;40933.5
58.6;45662.6
58.7;41494.6
58.8;41883.9
58.9;36565.1
59;37367.3
59.1;56484.2
59.2;41827.4
59.3;37329.2
59.4;64210
59.5;49782.6
59.6;42524.8
59.7;27896.5
59.8;39513.4
59.9;41038.6
60;43368.6
60.1;47417.8
60.2;39236.2
60.3;43204.9
60.4;43281.8
60.5;50345
60.6;37621.9
60.7;44682.3
60.8;40732.5
60.9;55139
61;36679.8
61.1;46514.2
61.2;46904
61.3;40989.4
61.4;64001.6
61.5;47602.7
61.6;46921.7
61.7;48309.5
61.8;46536.4
61.9;49412.9
62;54671.9
62.1;55311.6
62.2;57930.1
62.3;43404.6
62.4;52258
62.5;40109.8
62.6;47109
62.7;46721.4
62.8;69361.8
62.9;63171.8
63;43592.6
63.1;45311.6
63.2;56788.2
63.3;58835
63.4;44627.4
63.5;50831.8
63.6;47034.4
63.7;50263.7
63.8;53161.4
63.9;63607.4
64;52441.1
64.1;49651.9
64.2;57973.8
64.3;41191.4
64.4;62120.6
64.5;71943.8
64.6;53767.7
64.7;53182.2
64.8;54393.6
64.9;58258.2
65;42237.9
65.1;52690.6
65.2;50693.4
65.3;60939.4
65.4;65031.8
65.5;58274.4
65.6;49905.4
65.7;50940.4
65.8;46416.6
65.9;35070
66;57694.6
66.1;53443
66.2;51197.6
66.3;36844.4
66.4;46736.5
66.5;56444.9
66.6;47965.7
66.7;59494
66.8;37621.5
66.9;35158.4
67;41948.6
67.1;49683.4
67.2;45334.4
67.3;35021.4
67.4;40254.4
67.5;26014.5
67.6;41613.5
67.7;36477.6
67.8;40552.7
67.9;62073.4
68;44361.3
68.1;57687
68.2;37845.6
68.3;42161.4
68.4;41037.2
68.5;55556.6
68.6;36785.1
68.7;50691
68.8;29996.2
68.9;39769.7
69;44643.5
69.1;52000.5
69.2;47283.8
69.3;35170.2
69.4;33283.8
69.5;33456.1
69.6;34395.4
69.7;35313.7
69.8;47120
69.9;52043.5
70;47319.5
70.1;38184
70.2;39859.2
70.3;48108.6
70.4;42423.4
70.5;41234
70.6;48716.9
70.7;37569.8
70.8;47022.1
70.9;42014.8
71;44475.5
71.1;32398.3
71.2;45077.2
71.3;38228
71.4;36294.3
71.5;41548.6
71.6;44203.5
71.7;48900.8
71.8;49132.6
71.9;51461
72;32140.2
72.1;41904.8
72.2;35786.2
72.3;43629.8
72.4;39706.6
72.5;51826.4
72.6;27743.2
72.7;47454.6
72.8;29173.4
72.9;38235.4
73;34513.1
73.1;33277.1
73.2;46531.2
73.3;43470.9
73.4;42348.6
73.5;29942.7
73.6;33221.5
73.7;42178.2
73.8;41753.4
73.9;36487.2
74;37861.6
74.1;41733.1
74.2;40461.4
74.3;34433.8
74.4;31011.4
74.5;44593.7
74.6;37983.8
74.7;32363.2
74.8;34512.2
74.9;34647.8
75;28429.4
75.1;36968.3
75.2;29615.3
75.3;47741.3
75.4;37381.9
75.5;33173.7
75.6;35794.1
75.7;38687
75.8;46945.2
75.9;46440.3
76;40353.8
76.1;36750.6
76.2;41041
76.3;45787.3
76.4;37780.5
76.5;30556.7
76.6;43772.5
76.7;38074.9
76.8;38165.4
76.9;33160.2
77;51213
77.1;36704.5
77.2;28597
77.3;22618.1
77.4;40932
77.5;33552.4
77.6;49230.2
77.7;34166.3
77.8;25063.3
77.9;26897.8
78;58291
78.1;28326.2
78.2;48369.6
78.3;31466.9
78.4;51135.3
78.5;36417.1
78.6;39354.2
78.7;54281.4
78.8;33880.1
78.9;58899.2
79;30679.5
79.1;26270.6
79.2;42609.6
79.3;44341.8
79.4;31371
79.5;40744.5
79.6;39885
79.7;36076.1
79.8;33718.5
79.9;43601.1
80;41256.9
80.1;46618.7
80.2;41096.7
80.3;33330.4
80.4;43062.6
80.5;35432.7
80.6;35800.9
80.7;40891.1
80.8;39969.3
80.9;39853
81;25994.2
81.1;25244.7
81.2;36476.1
81.3;33676.2
81.4;51976.4
81.5;26773.2
81.6;54997
81.7;48202.8
81.8;34203
81.9;37583.5
82;38954.6
82.1;39675.4
82.2;63578.3
82.3;40225.6
82.4;41843.4
82.5;36997.6
82.6;40197.8
82.7;31015.4
82.8;43403.8
82.9;39792.6
83;37671.5
83.1;47169.1
83.2;41701.5
83.3;40648.3
83.4;36203.5
83.5;45251.4
83.6;42696.6
83.7;45077.4
83.8;38927.9
83.9;48266.3
84;37806.2
84.1;37469.2
84.2;54135
84.3;36087.8
84.4;51545
84.5;32016.4
84.6;49947.8
84.7;49592.6
84.8;46895
84.9;33233.8
85;34035.9
85.1;45699.3
85.2;29156.2
85.3;44907.7
85.4;33189.6
85.5;49303
85.6;36460
85.7;45095.3
85.8;31099
85.9;42068.1
86;52561.4
86.1;37941.3
86.2;35281.3
86.3;33332.8
86.4;46712.4
86.5;29601
86.6;44037
86.7;44769.9
86.8;24202.6
86.9;26736.7
87;30618.4
87.1;37303.8
87.2;37472.1
87.3;43843.3
87.4;29446.1
87.5;41382.2
87.6;39415.8
87.7;44043.3
87.8;29801.6
87.9;35061.2
88;55174.3
88.1;29527.4
88.2;49625.8
88.3;24489.8
88.4;42711.3
88.5;38006
88.6;30962.5
88.7;27787.5
88.8;39546.6
88.9;41230.1
89;54521
89.1;30021.9
89.2;43652.5
89.3;47896.9
89.4;38358.5
89.5;41835.8
89.6;32829.5
89.7;51354.3
89.8;43097.8
89.9;40841.5
90;38403
90.1;33047.2
90.2;47011.4
90.3;39870.1
90.4;52877
90.5;32558.9
90.6;54969.3
90.7;35251.3
